ID;Épica;Título;Rol;Historia;Criterios de aceptación;Requisitos;Objetivo;Prioridad;Puntos;Sprint;Dependencias;Notas técnicas
HU-01;E0 — Fundación del proyecto y habilitadoras técnicas;Especificación de requisitos del sistema;Equipo de desarrollo;Como equipo de desarrollo, necesitamos levantar y documentar los requisitos funcionales y no funcionales del sistema, para delimitar con precisión qué se va a construir y evitar la ampliación no controlada del alcance.;Dado que se ha realizado la revisión documental del contexto, cuando se consolide el análisis, entonces cada limitación identificada debe estar asociada al menos a un requisito. | Dado el catálogo de requisitos, cuando se revise, entonces cada requisito funcional debe tener un código único, una redacción verificable y una prioridad asignada. | Dado el catálogo de requisitos no funcionales, cuando se revise, entonces cada uno debe contar con un criterio de verificación medible. | Dado el documento finalizado, cuando se presente al asesor, entonces debe recibir su aprobación antes de iniciar el diseño.;"RF-01 a RF-15; RNF-01 a RNF-10";Objetivo 1;Debe;8;Sprint 1;—;El catálogo se documenta en el capítulo de desarrollo del proyecto y es la base de la matriz de trazabilidad.
HU-02;E0 — Fundación del proyecto y habilitadoras técnicas;Construcción y priorización del Product Backlog;Product Owner;Como Product Owner, necesito traducir los requisitos en historias de usuario estimadas y priorizadas, para poder planificar los sprints con base en el valor entregado y no en el orden de aparición de las tareas.;Dado el catálogo de requisitos, cuando se redacten las historias, entonces cada una debe seguir el formato «como / necesito / para» y contar con criterios de aceptación. | Dado el conjunto de historias, cuando se estime en planning poker, entonces cada historia debe tener un valor en puntos de la escala de Fibonacci adoptada. | Dado el backlog, cuando se priorice con el método MoSCoW, entonces las historias clasificadas como «Debe» deben cubrir el ciclo completo de publicar, moderar, descubrir y contactar. | Dado el backlog priorizado, cuando se cierre el Sprint 1, entonces debe estar publicado en el tablero de GitHub Projects.;RF-01 a RF-15;Objetivo 1;Debe;5;Sprint 1;HU-01;El resultado es el presente documento y el Product Backlog del marco metodológico.
HU-03;E0 — Fundación del proyecto y habilitadoras técnicas;Delimitación del alcance del producto mínimo viable;Product Owner;Como Product Owner, necesito declarar de forma explícita las inclusiones, exclusiones y restricciones del prototipo, para proteger el alcance frente al tiempo académico disponible y al tamaño del equipo.;Dado el backlog priorizado, cuando se defina el alcance, entonces debe existir una lista escrita de funcionalidades excluidas con su justificación. | Dado el alcance definido, cuando se identifique una funcionalidad fuera de él, entonces debe registrarse como trabajo futuro y no incorporarse a ningún sprint. | Dado el alcance, cuando se revise con el asesor, entonces debe quedar constancia de su aceptación.;—;Objetivo 1;Debe;5;Sprint 1;HU-02;Corresponde a los apartados de inclusiones, exclusiones y restricciones del marco metodológico.
HU-04;E0 — Fundación del proyecto y habilitadoras técnicas;Diseño de la arquitectura de la solución;Equipo de desarrollo;Como equipo de desarrollo, necesitamos definir la arquitectura por capas del sistema, para establecer las responsabilidades de cada componente y permitir que el software evolucione sin rediseños completos.;Dado el alcance aprobado, cuando se diseñe la arquitectura, entonces debe quedar documentada en un diagrama con sus capas y las relaciones entre ellas. | Dada la arquitectura, cuando se revise, entonces la capa de presentación no debe acceder a datos sin pasar por la capa de servicios. | Dada la arquitectura, cuando se documente, entonces debe indicar explícitamente qué tecnología resuelve cada capa.;RNF-09;Objetivo 2;Debe;8;Sprint 2;HU-03;"React en presentación; Firebase como backend como servicio; Vercel, GitHub y OpenStreetMap como servicios externos."
HU-05;E0 — Fundación del proyecto y habilitadoras técnicas;Diseño del modelo de datos en Cloud Firestore;Equipo de desarrollo;Como equipo de desarrollo, necesitamos diseñar la estructura de colecciones y documentos, para organizar la información de usuarios, actores culturales, hubs, eventos y moderaciones de forma consistente y consultable.;Dado el catálogo de requisitos, cuando se diseñe el modelo, entonces cada entidad debe tener su colección con los campos necesarios y sus tipos definidos. | Dado el modelo, cuando se revise, entonces las relaciones entre colecciones deben resolverse mediante identificadores de referencia. | Dado el modelo, cuando se documente, entonces debe indicar qué campos son obligatorios y cuáles admiten valor nulo. | Dado el modelo, cuando se implemente, entonces debe permitir consultar los eventos filtrando por categoría y por rango de fechas.;RF-03 a RF-11;Objetivo 2;Debe;8;Sprint 2;HU-04;Colecciones previstas: usuarios, actoresCulturales, hubs, eventos, categorias, moderaciones e interacciones.
HU-06;E0 — Fundación del proyecto y habilitadoras técnicas;Prototipo de interfaz en Figma;Equipo de desarrollo;Como equipo de desarrollo, necesitamos construir el prototipo visual navegable de las pantallas principales, para validar la estructura de navegación antes de escribir código y reducir el retrabajo.;Dado el alcance funcional, cuando se diseñe el prototipo, entonces deben existir las vistas de inicio, catálogo, detalle de evento, perfil de actor, directorio de hubs, mapa y panel de administración. | Dado el prototipo, cuando se revise, entonces debe ser navegable entre pantallas mediante enlaces. | Dado el prototipo, cuando se defina la paleta, entonces los contrastes de color deben cumplir la relación mínima exigida por las pautas WCAG 2.1. | Dado el prototipo, cuando se presente en la Sprint Review, entonces debe recibir la retroalimentación del asesor antes de iniciar la construcción.;RNF-01, RNF-03, RNF-07;Objetivo 2;Debe;5;Sprint 2;HU-04;El prototipo aprobado es condición de la Definición de Listo para toda historia con componente visual.
HU-07;E0 — Fundación del proyecto y habilitadoras técnicas;Configuración del proyecto y estructura de rutas;Equipo de desarrollo;Como equipo de desarrollo, necesitamos crear el proyecto en React con su estructura de carpetas, rutas y componentes, para disponer de una base ordenada sobre la cual construir los módulos funcionales.;Dado el proyecto creado, cuando se ejecute en local, entonces debe iniciar sin errores en consola. | Dada la estructura de carpetas, cuando se revise, entonces debe separar componentes, vistas, servicios y utilidades. | Dado el enrutador, cuando se navegue a una ruta inexistente, entonces debe mostrarse una página de error controlada.;RNF-09;Objetivo 2;Debe;5;Sprint 3;HU-04;React con enrutamiento del lado del cliente.
HU-08;E0 — Fundación del proyecto y habilitadoras técnicas;Repositorio versionado y despliegue continuo;Equipo de desarrollo;Como equipo de desarrollo, necesitamos conectar el repositorio de GitHub con Vercel, para que cada integración en la rama principal genere automáticamente un despliegue verificable.;Dado el repositorio, cuando se integre un cambio en la rama principal, entonces Vercel debe generar un despliegue sin intervención manual. | Dado un despliegue, cuando finalice, entonces debe existir una dirección pública accesible desde cualquier navegador. | Dada la rama principal, cuando se intente integrar sin revisión del otro integrante, entonces la integración debe quedar bloqueada.;RNF-08, RNF-09;Objetivo 2;Debe;3;Sprint 3;HU-07;"Ramas de trabajo por historia de usuario; revisión cruzada obligatoria según la Definición de Terminado."
HU-09;E0 — Fundación del proyecto y habilitadoras técnicas;Estructura base de navegación y página de inicio;Turista o visitante;Como visitante, necesito encontrar desde la página de inicio los accesos a eventos, actores culturales, hubs y mapa, para orientarme en la plataforma sin conocimiento previo de su estructura.;Dada la página de inicio, cuando se cargue, entonces debe presentar el propósito de la plataforma y los cuatro accesos principales. | Dado el menú de navegación, cuando se seleccione una opción, entonces debe conducir a la vista correspondiente en menos de dos segundos. | Dada cualquier vista interna, cuando se consulte, entonces debe existir siempre una forma visible de regresar al inicio.;RF-09;Objetivo 2;Debe;5;Sprint 3;HU-06, HU-07;—
HU-10;E0 — Fundación del proyecto y habilitadoras técnicas;Diseño responsive de la estructura base;Turista o visitante;Como visitante que consulta la plataforma desde el teléfono durante mi viaje, necesito que la interfaz se adapte a la pantalla de mi dispositivo, para poder usarla sin ampliar ni desplazar horizontalmente.;Dada la interfaz, cuando se visualice en anchos de 360, 768 y 1366 píxeles, entonces el contenido debe permanecer legible y sin desbordamiento horizontal. | Dado el menú, cuando el ancho sea inferior a 768 píxeles, entonces debe presentarse en su versión compacta. | Dados los elementos interactivos, cuando se visualicen en móvil, entonces su área de toque no debe ser inferior a 44 por 44 píxeles.;RNF-03;Objetivo 2;Debe;5;Sprint 3;HU-09;Verificable con la emulación de dispositivos del navegador.
